"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","390","tracks room occupancy and updates when clients leave","mod_muc_census","Tue Sep 08 19:35:00 UTC 2026","passed","Tue Sep 08 19:35:00 UTC 2026","","","",""
"","24","advertises an audio-translation component identity on the main host","mod_audio_translation_component","Tue Sep 08 19:33:22 UTC 2026","passed","Tue Sep 08 19:33:22 UTC 2026","","disco identity","",""
"","2188","destroys room when last regular user leaves and only jibri remains","mod_muc_cleanup_backend_services","Tue Sep 08 19:35:00 UTC 2026","passed","Tue Sep 08 19:35:02 UTC 2026","","","",""
"","6","serves entries from external_services config (port 3479)","mod_turncredentials_http","Tue Sep 08 19:37:11 UTC 2026","passed","Tue Sep 08 19:37:11 UTC 2026","","extdisco IQ (via external_services)","",""
"","428","passes status IQ regardless of features (only start/stop are gated)","mod_filter_iq_jibri (feature-based authorization)","Tue Sep 08 19:34:25 UTC 2026","passed","Tue Sep 08 19:34:25 UTC 2026","","livestreaming (recording_mode=stream)","",""
"","0","adds the room info field to a disco#info form","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","capability advertisement","",""
"","0","key passed to jwt.encode is the key read from key_path","mod_short_lived_token","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","generateToken payload","",""
"","634","messages blocked by filter_messages do not count toward the cap","mod_muc_limit_messages","Tue Sep 08 19:35:30 UTC 2026","passed","Tue Sep 08 19:35:30 UTC 2026","","","",""
"","1132","moderator cannot set blocked key ""conferencePresetsServiceEnabled""","mod_room_metadata_component","Tue Sep 08 19:36:20 UTC 2026","passed","Tue Sep 08 19:36:21 UTC 2026","","blocked keys","",""
"","1134","moderator with transcription=false is denied despite moderator role","mod_room_metadata_component","Tue Sep 08 19:36:38 UTC 2026","passed","Tue Sep 08 19:36:39 UTC 2026","","allow-moderation hook (mod_filter_iq_rayo interop)","",""
"","0","hooks muc-disco#info","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","registration","",""
"","128","grants member affiliation when moderator=false","mod_token_affiliation","Tue Sep 08 19:37:08 UTC 2026","passed","Tue Sep 08 19:37:08 UTC 2026","","","",""
"","217","a duplicate pollId is rejected with an error","mod_polls_component","Tue Sep 08 19:36:02 UTC 2026","passed","Tue Sep 08 19:36:02 UTC 2026","","poll creation","",""
"","331","exposes the request map to jicofo but not to regular clients","mod_audio_translation_component","Tue Sep 08 19:33:42 UTC 2026","passed","Tue Sep 08 19:33:42 UTC 2026","","aggregation across receivers","",""
"","0","marks the history entry as moderated by the sending occupant","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","moderation by a moderator","",""
"","198","clears granted features when the token of the recipient has none","mod_jitsi_permissions","Tue Sep 08 19:34:41 UTC 2026","passed","Tue Sep 08 19:34:42 UTC 2026","","affiliation grant and revoke","",""
"","428","passes stop IQ when features.livestreaming = true","mod_filter_iq_jibri (feature-based authorization)","Tue Sep 08 19:34:23 UTC 2026","passed","Tue Sep 08 19:34:23 UTC 2026","","livestreaming (recording_mode=stream)","",""
"","5149","all 5 simultaneous leaves complete and observer receives all unavailable presences","mod_muc_rate_limit","Tue Sep 08 19:35:48 UTC 2026","passed","Tue Sep 08 19:35:53 UTC 2026","","leave rate limiting","",""
"","0","iss is set to configured issuer","mod_short_lived_token","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","generateToken payload","",""
"","284","transfers moderator role to flip device and tags the kicked occupant presence","mod_muc_flip","Tue Sep 08 19:35:24 UTC 2026","passed","Tue Sep 08 19:35:24 UTC 2026","","flip","",""
"","230","stamps an occupant nick on a json-message sent to the room","mod_time_restricted","Tue Sep 08 19:37:07 UTC 2026","passed","Tue Sep 08 19:37:07 UTC 2026","","spoofing by an occupant","",""
"","178","allows a presence update that keeps the same resource","mod_muc_resource_validate","Tue Sep 08 19:35:59 UTC 2026","passed","Tue Sep 08 19:35:59 UTC 2026","","","",""
"","235","joining client receives current metadata","mod_room_metadata_component","Tue Sep 08 19:36:32 UTC 2026","passed","Tue Sep 08 19:36:32 UTC 2026","","initial metadata delivery","",""
"","0","bare word focus without slash returns false","util.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","is_focus","",""
"","0","rejects a retraction with no occupant on the event","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","retraction","",""
"","0","returns true when both arguments are nil","util.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","table_equals","table helpers","",""
"","2259","does not destroy room when a second regular user is still present","mod_muc_cleanup_backend_services","Tue Sep 08 19:35:05 UTC 2026","passed","Tue Sep 08 19:35:07 UTC 2026","","","",""
"","0","matches against a plain table of prefixes","util.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","starts_with_one_of","",""
"","2136","message with empty <room_metadata> body is ignored","mod_room_metadata_component","Tue Sep 08 19:36:45 UTC 2026","passed","Tue Sep 08 19:36:47 UTC 2026","","invalid payloads","",""
"","695","keeps a language referenced by another receiver after a switch","mod_audio_translation_component","Tue Sep 08 19:33:40 UTC 2026","passed","Tue Sep 08 19:33:40 UTC 2026","","aggregation across receivers","",""
"","0","extracts node, host, resource and subdomain from a multidomain JID","util.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","room_jid_split_subdomain","",""
"","0","ignores a replace element with no body","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","parse_correction","",""
"","56","non-focus participant is blocked from a health check room","mod_muc_meeting_id","Tue Sep 08 19:35:38 UTC 2026","passed","Tue Sep 08 19:35:38 UTC 2026","","health check rooms","",""
"","367","leaves a conference-modify IQ without traceparent unmodified and exports nothing","mod_trace","Tue Sep 08 19:37:10 UTC 2026","passed","Tue Sep 08 19:37:10 UTC 2026","","when otlp_endpoint is set","",""
"","10583","destroys the room with a friendly time-limit reason and blocks re-creation","mod_time_restricted","Tue Sep 08 19:36:56 UTC 2026","passed","Tue Sep 08 19:37:07 UTC 2026","","","",""
"","0","prepends 0x00 when first byte is 0xFF","jwk.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","encode_integer","ASN1","",""
"","337","processes requests when audioTranslation is absent (enabled by default)","mod_audio_translation_component","Tue Sep 08 19:33:27 UTC 2026","passed","Tue Sep 08 19:33:27 UTC 2026","","enabled flag","",""
"","0","relays a retraction when the room has no history at all","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","retraction","",""
"","237","whitelisted user can join a room that is at the limit","mod_muc_max_occupants","Tue Sep 08 19:35:34 UTC 2026","passed","Tue Sep 08 19:35:34 UTC 2026","","whitelist","",""
"","2","PUT returns 400 when body is valid JSON but passcode key is missing","mod_muc_password_check","Tue Sep 08 19:35:39 UTC 2026","passed","Tue Sep 08 19:35:39 UTC 2026","","parameter validation","",""
"","0","restricted is true","mod_short_lived_token","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","valid request service entry","external_service/credentials handler","",""
"","249","JWT host arriving after lobby is triggered opens the room for new guests","mod_muc_wait_for_host","Tue Sep 08 19:36:01 UTC 2026","passed","Tue Sep 08 19:36:01 UTC 2026","","","",""
"","0","increments count between calls producing distinct filenames","mod_debug_traceback","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","dump_traceback()","",""
"","125","guest is admitted when a JWT host has already joined","mod_muc_wait_for_host","Tue Sep 08 19:36:01 UTC 2026","passed","Tue Sep 08 19:36:01 UTC 2026","","host present","",""
"","0","rejects a request with no occupant on the event","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","moderation role checks","",""
"","0","returns falsy and does not error when no overrides configured","mod_certs_s2soutinjection","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","attach()","",""
"","0","broadcasts the moderation from the room jid","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","moderation by a moderator","",""
"","0","does not rewrite a JID whose host uses a hyphen after the prefix (regression)","util.lib","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","room_jid_match_rewrite","",""
"","0","does not keep it out of history","mod_muc_message_moderation","Tue Sep 08 19:33:01 UTC 2026","passed","Tue Sep 08 19:33:01 UTC 2026","","correction by the author","",""
"","426","allows the first transcription dial in a room","mod_filter_iq_rayo (feature-based authorization)","Tue Sep 08 19:34:33 UTC 2026","passed","Tue Sep 08 19:34:34 UTC 2026","","transcription per-room throttle","",""
"","899","rejects a new subscription that would exceed the limit","mod_audio_translation_component","Tue Sep 08 19:33:35 UTC 2026","passed","Tue Sep 08 19:33:36 UTC 2026","","per-receiver limit (3)","",""
