"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","ignores a jibri IQ with action 'stop'","mod_jibri_session","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","non-matching stanzas pass through unchanged","",""
"","0","password is empty string when jwt.encode fails","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","prefers s2s_connect_overrides — s2sout_override hosts are ignored","mod_certs_s2soutinjection","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","attach()","",""
"","0","empty list returns false","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","verify_claim","internals","",""
"","0","encodes three-byte form for 256","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","encode_length","ASN1","",""
"","0","preserves the resource in the rewritten JID","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","room_jid_match_rewrite","",""
"","0","returns false for nil room","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_vpaas","",""
"","0","context.group falls back to granted_jitsi_meet_context_group_id","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","affiliation='teacher' sets owner","mod_token_affiliation","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","affiliation assignment","",""
"","0","granted_from set from session.granted_jitsi_meet_context_user_id","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","sets conference_details.session_id from room meetingId","mod_jibri_session","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","jicofo-to-jibri pass (room attr present on jibri element)","",""
"","0","returns the matched prefix value (table)","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","starts_with_one_of","",""
"","0","does not push service when credential key is not in accepted map","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","external_service/credentials handler","",""
"","0","handles empty content","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","encode_sequence","ASN1","",""
"","0","returns nil subdomain for a hyphenated-prefix host (regression: unescaped dot)","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","room_jid_split_subdomain","",""
"","0","wildcard in mixed list still matches","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","verify_claim","internals","",""
"","0","accumulates time when dominant speaker stops","SpeakerStats","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","setDominantSpeaker","",""
"","0","encodes single-byte length for 127","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","encode_length","ASN1","",""
"","0","returns error for token with invalid JSON body","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","parse_token","internals","",""
"","0","caches the result in room.is_vpaas","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_vpaas","",""
"","0","sends not-allowed when session is not an occupant","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","external_service/credentials handler","",""
"","0","returns false for a host-only JID (no node)","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_focus_jid","",""
"","0","exp is approximately now + ttl_seconds","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","returns error or throws for token with invalid base64 header","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","parse_token","internals","",""
"","0","customer_id falls back to group when extract_subdomain returns no customer_id","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","recognises a jicofo health-check room","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_healthcheck_room","",""
"","0","returns nil and error for two-segment input","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","strip_signature","internals","",""
"","0","returns truthy for jibria@ prefixed JID string","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_jibri","",""
"","0","resolves a roomless IQ stored by room_jid_match_rewrite","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","internal_room_jid_match_rewrite","",""
"","0","copies all key-value pairs","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","table_shallow_copy","table helpers","",""
"","0","wraps content with SEQUENCE tag 0x30","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","encode_sequence","ASN1","",""
"","0","wraps DER bytes in PEM format with default PUBLIC KEY label","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","der_to_pem","ASN1","",""
"","0","returns false when feature is present but set to false","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_feature_allowed","",""
"","0","returns false for occupant object with non-recorder JID","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_jibri","",""
"","0","reports removed keys","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","table_compare","table helpers","",""
"","0","updates isDominantSpeaker state","SpeakerStats","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","setDominantSpeaker","",""
"","0","returns truthy for transcribera@ JID","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_transcriber","",""
"","0","expired token is rejected","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","claims","verify","",""
"","0","admin occupant — no affiliation set","mod_token_affiliation","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","skip conditions in muc-occupant-pre-join","",""
"","0","does not deep-copy nested tables","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","table_shallow_copy","table helpers","",""
"","0","malformed token (two segments) returns error","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","argument validation","verify","",""
"","0","registers handler on s2s-check-certificate event","mod_certs_s2soutinjection","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","event wrapping","",""
"","0","tags with 0x02 and does not pad when high bit is clear","jwk.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","encode_integer","ASN1","",""
"","0","affiliation='moderator' sets owner","mod_token_affiliation","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","affiliation assignment","",""
"","0","accepted audience passes","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","audience","verify","",""
"","0","returns true when both arguments are nil","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","table_equals","table helpers","",""
"","0","does not rewrite a JID whose host uses a hyphen after the prefix (regression)","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","room_jid_match_rewrite","",""
"","0","returns truthy for transcriberb@ JID","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_transcriber","",""
"","0","meeting_id taken from room._data.meetingId","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","affiliation='owner' sets owner","mod_token_affiliation","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","affiliation assignment","",""
"","0","no token — no affiliation set","mod_token_affiliation","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","skip conditions in muc-occupant-pre-join","",""
"","0","returns false for nil","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_healthcheck_room","",""
"","0","does not call rewrites when 'to' and 'from' are absent","mod_muc_domain_mapper","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","message stanzas","filter_stanza","",""
"","0","returns false for an unmoderated room without a subdomain","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_moderated","",""
"","0","accepts an occupant object and inspects its .jid field","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","is_jibri","",""
"","0","logs an error when the file cannot be opened","mod_debug_traceback","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","dump_traceback()","",""
"","0","missing iss claim when acceptedIssuers provided is rejected","luajwtjitsi","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","issuer","verify","",""
"","0","returns false when only one argument is nil","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","table_equals","table helpers","",""
"","0","context.user built from presence when jitsi_meet_context_user absent","mod_short_lived_token","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","generateToken payload","",""
"","0","returns false for nil prefixes","util.lib","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","starts_with_one_of","",""
"","0","does not touch cert status for host not in overrides","mod_certs_s2soutinjection","Mon Aug 24 13:53:12 UTC 2026","passed","Mon Aug 24 13:53:12 UTC 2026","","attach()","",""
