"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2137","message with empty <room_metadata> body is ignored","mod_room_metadata_component","Thu Sep 24 19:04:05 UTC 2026","passed","Thu Sep 24 19:04:07 UTC 2026","","invalid payloads","",""
"","134","accepts MUC join when the regex room claim uses an uppercase class","mod_auth_token (ASAP / RS256)","Thu Sep 24 19:00:58 UTC 2026","passed","Thu Sep 24 19:00:59 UTC 2026","","","",""
"","1139","moderator cannot set blocked key ""allownersEnabled""","mod_room_metadata_component","Thu Sep 24 19:03:37 UTC 2026","passed","Thu Sep 24 19:03:38 UTC 2026","","blocked keys","",""
"","0","sends not-allowed when session is not an occupant","mod_short_lived_token","Thu Sep 24 19:00:08 UTC 2026","passed","Thu Sep 24 19:00:08 UTC 2026","","external_service/credentials handler","",""
"","124","strips a client-supplied <identity> when session has no context.user","mod_presence_identity","Thu Sep 24 19:03:32 UTC 2026","passed","Thu Sep 24 19:03:32 UTC 2026","","spoofing prevention","",""
"","477","participant count decreases after a client leaves","mod_muc_size","Thu Sep 24 19:03:19 UTC 2026","passed","Thu Sep 24 19:03:19 UTC 2026","","GET /room-size","",""
"","0","falls through so the room relays and archives it","mod_muc_message_moderation","Thu Sep 24 19:00:07 UTC 2026","passed","Thu Sep 24 19:00:07 UTC 2026","","correction by the author","",""
"","293","body-less private message is delivered even when privateChatRestricted is true","mod_filter_messages private messages","Thu Sep 24 19:01:57 UTC 2026","passed","Thu Sep 24 19:01:57 UTC 2026","","","",""
"","0","encodes three-byte form for 256","jwk.lib","Thu Sep 24 19:00:07 UTC 2026","passed","Thu Sep 24 19:00:07 UTC 2026","encode_length","ASN1","",""
"","0","converts a minimal RSA JWK (no 0x00 padding) to PEM","jwk.lib","Thu Sep 24 19:00:07 UTC 2026","passed","Thu Sep 24 19:00:07 UTC 2026","","jwk_to_pem","",""
"","0","returns JID unchanged when node lacks [sub] prefix","util.lib","Thu Sep 24 19:00:08 UTC 2026","passed","Thu Sep 24 19:00:08 UTC 2026","","internal_room_jid_match_rewrite","",""
"","0","tampered payload fails verification","luajwtjitsi","Thu Sep 24 19:00:07 UTC 2026","passed","Thu Sep 24 19:00:07 UTC 2026","HS256","verify","",""
"","228","a duplicate pollId is rejected with an error","mod_polls_component","Thu Sep 24 19:03:21 UTC 2026","passed","Thu Sep 24 19:03:21 UTC 2026","","poll creation","",""
"","26","resumes session with same username when previd matches SM token","mod_auth_jitsi-anonymous","Thu Sep 24 19:00:58 UTC 2026","passed","Thu Sep 24 19:00:58 UTC 2026","","","",""
"","21","sets session.jitsi_web_query_prefix from ?prefix query param","mod_jitsi_session","Thu Sep 24 19:02:01 UTC 2026","passed","Thu Sep 24 19:02:01 UTC 2026","","","",""
"","0","encodes two-byte form for 255","jwk.lib","Thu Sep 24 19:00:07 UTC 2026","passed","Thu Sep 24 19:00:07 UTC 2026","encode_length","ASN1","",""
"","18","rejects connection with wrong secret","mod_auth_jitsi-shared-secret","Thu Sep 24 19:00:58 UTC 2026","passed","Thu Sep 24 19:00:58 UTC 2026","","","",""
"","488","update payload contains the main room and the new breakout room","mod_muc_breakout_rooms","Thu Sep 24 19:02:10 UTC 2026","passed","Thu Sep 24 19:02:10 UTC 2026","","create breakout room","",""
"","1","returns 400 when query string is missing","mod_muc_size","Thu Sep 24 19:03:19 UTC 2026","passed","Thu Sep 24 19:03:19 UTC 2026","","GET /room","",""
"","219","delivers to multiple recipients","mod_system_chat_message","Thu Sep 24 19:04:13 UTC 2026","passed","Thu Sep 24 19:04:13 UTC 2026","","message delivery","",""
"","12","does not crash on connect with invalid Lua regex room claim","mod_auth_token (ASAP / RS256)","Thu Sep 24 19:00:58 UTC 2026","passed","Thu Sep 24 19:00:58 UTC 2026","","","",""
"","0","sub is jitsi_web_query_prefix when non-empty","mod_short_lived_token","Thu Sep 24 19:00:08 UTC 2026","passed","Thu Sep 24 19:00:08 UTC 2026","","generateToken payload","",""
"","9","user without a token is allowed (ban check is a no-op)","mod_muc_auth_ban","Thu Sep 24 19:02:03 UTC 2026","passed","Thu Sep 24 19:02:03 UTC 2026","","","",""
"","152","includes displayName in the payload when provided","mod_system_chat_message","Thu Sep 24 19:04:12 UTC 2026","passed","Thu Sep 24 19:04:13 UTC 2026","","message delivery","",""
