"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","returns truthy for jibria@ prefixed JID string","util.lib","Wed Sep 02 00:06:16 UTC 2026","passed","Wed Sep 02 00:06:16 UTC 2026","","is_jibri","",""
"","317","body-less groupchat (no json) counts toward the cap and is blocked","mod_muc_limit_messages","Wed Sep 02 00:08:27 UTC 2026","passed","Wed Sep 02 00:08:27 UTC 2026","","","",""
"","1173","new-poll with a non-string answer name is ignored","mod_polls_component","Wed Sep 02 00:09:03 UTC 2026","passed","Wed Sep 02 00:09:04 UTC 2026","","validation","",""
"","281","body-less message is always delivered even when groupChatRestricted is true","mod_filter_messages","Wed Sep 02 00:07:42 UTC 2026","passed","Wed Sep 02 00:07:43 UTC 2026","","","",""
"","1124","non-moderator cannot update metadata","mod_room_metadata_component","Wed Sep 02 00:09:14 UTC 2026","passed","Wed Sep 02 00:09:15 UTC 2026","","authorization","",""
"","55","a regular user cannot create a room by joining first","mod_muc_meeting_id","Wed Sep 02 00:08:34 UTC 2026","passed","Wed Sep 02 00:08:34 UTC 2026","","jicofo lock","",""
"","63","returns 400 when connectionJIDs is missing","mod_system_chat_message","Wed Sep 02 00:09:51 UTC 2026","passed","Wed Sep 02 00:09:51 UTC 2026","","parameter validation","",""
"","426","blocks stop IQ when context.features present but livestreaming key absent","mod_filter_iq_jibri (feature-based authorization)","Wed Sep 02 00:07:26 UTC 2026","passed","Wed Sep 02 00:07:27 UTC 2026","","livestreaming (recording_mode=stream)","",""
"","423","passes stop IQ when features.recording = true","mod_filter_iq_jibri (feature-based authorization)","Wed Sep 02 00:07:22 UTC 2026","passed","Wed Sep 02 00:07:22 UTC 2026","","recording (recording_mode=file)","",""
"","0","writes traceback content to file","mod_debug_traceback","Wed Sep 02 00:06:16 UTC 2026","passed","Wed Sep 02 00:06:16 UTC 2026","","dump_traceback()","",""
"","0","returns false for a room on the wrong MUC domain","util.lib","Wed Sep 02 00:06:16 UTC 2026","passed","Wed Sep 02 00:06:16 UTC 2026","","is_vpaas","",""
"","654","tracks the limit independently per receiver","mod_audio_translation_component","Wed Sep 02 00:06:52 UTC 2026","passed","Wed Sep 02 00:06:52 UTC 2026","","per-receiver limit (3)","",""
"","0","returns nil for unrecognised email","util.lib","Wed Sep 02 00:06:16 UTC 2026","passed","Wed Sep 02 00:06:16 UTC 2026","","get_sip_jibri_email_prefix","",""
"","1119","moderator cannot set blocked key ""conferencePresetsServiceEnabled""","mod_room_metadata_component","Wed Sep 02 00:09:18 UTC 2026","passed","Wed Sep 02 00:09:20 UTC 2026","","blocked keys","",""
